"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2026-01-01T00:00+0100","Zch_Heubeeribüel","T","d1","°C",-2.57,"provisorisch"
"2026-01-01T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",1.3,"provisorisch"
"2026-01-01T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",941.89,"provisorisch"
"2026-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0.0,"provisorisch"
"2026-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-1.97,"provisorisch"
"2026-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",2.47,"provisorisch"
"2026-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",962.78,"provisorisch"
"2026-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0.0,"provisorisch"
"2026-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",-1.05,"provisorisch"
"2026-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",2.79,"provisorisch"
"2026-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",965.43,"provisorisch"
"2026-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0.0,"provisorisch"
"2026-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",68.82,"provisorisch"
"2026-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",-1.42,"provisorisch"
"2026-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",2.68,"provisorisch"
"2026-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",962.72,"provisorisch"
"2026-01-02T00:00+0100","Zch_Heubeeribüel","T","d1","°C",0.12,"provisorisch"
"2026-01-02T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",1.74,"provisorisch"
"2026-01-02T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",934.82,"provisorisch"
"2026-01-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",111.68,"provisorisch"
"2026-01-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",1.19,"provisorisch"
"2026-01-02T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",3.38,"provisorisch"
"2026-01-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",955.39,"provisorisch"
"2026-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",152.1,"provisorisch"
"2026-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",1.9,"provisorisch"
"2026-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",3.81,"provisorisch"
"2026-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",958.0,"provisorisch"
"2026-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",123.1,"provisorisch"
"2026-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",18.62,"provisorisch"
"2026-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.79,"provisorisch"
"2026-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.59,"provisorisch"
"2026-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",955.37,"provisorisch"
"2026-01-03T00:00+0100","Zch_Heubeeribüel","T","d1","°C",-2.46,"provisorisch"
"2026-01-03T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",-1.26,"provisorisch"
"2026-01-03T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",936.83,"provisorisch"
"2026-01-03T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0.0,"provisorisch"
"2026-01-03T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",-0.75,"provisorisch"
"2026-01-03T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",0.32,"provisorisch"
"2026-01-03T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",957.63,"provisorisch"
"2026-01-03T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",12.33,"provisorisch"
