"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2025-01-01T00:00+0100","Zch_Heubeeribüel","T","d1","°C",1.77,"bereinigt"
"2025-01-01T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",6.24,"bereinigt"
"2025-01-01T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",953.94,"bereinigt"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0.0,"bereinigt"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",0.96,"bereinigt"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",4.05,"bereinigt"
"2025-01-01T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",974.87,"bereinigt"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0.03,"bereinigt"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",1.44,"bereinigt"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",8.64,"bereinigt"
"2025-01-01T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",977.49,"bereinigt"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0.0,"bereinigt"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",71.16,"bereinigt"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.37,"bereinigt"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.14,"bereinigt"
"2025-01-01T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",974.67,"bereinigt"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","T","d1","°C",5.45,"bereinigt"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","T_max_h1","d1","°C",8.18,"bereinigt"
"2025-01-02T00:00+0100","Zch_Heubeeribüel","p","d1","hPa",944.67,"bereinigt"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",480.6,"bereinigt"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",6.45,"bereinigt"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",9.69,"bereinigt"
"2025-01-02T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",965.19,"bereinigt"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",502.85,"bereinigt"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.25,"bereinigt"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",10.12,"bereinigt"
"2025-01-02T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",967.83,"bereinigt"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",520.67,"bereinigt"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",28.21,"bereinigt"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",6.78,"bereinigt"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.71,"bereinigt"
"2025-01-02T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",965.23,"bereinigt"
